Title,Author,Publisher,,,,,,
Classical Mythology,"Mark P. O. Morford,Robert J. Lenardon","Oxford University Press, USA",,,,,,
Clara Callan: A Novel,Richard Bruce Wright,HarperFlamingoCanada,,,,,,
Decision In Normandy,Carlo D'Este,HarperPerennial,,,,,,
Flu: The Story Of The Great Influenza Pandemic Of 1918 And The Search For The Virus That Caused It,Gina Kolata,"Farrar, Straus And Giroux",,,,,,
The Mummies Of Urumchi,"Elizabeth Wayland Barber,E. J. W. Barber",W. W. Norton &amp; Company,,,,,,
The Kitchen God's Wife,Amy Tan,G. P. Putnam's Sons,,,,,,
What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,Berkley Trade,,,,,,
Pleading Guilty,"Scott Turow,Stacy Keach",Simon &amp; Schuster Audio,,,,,,
Under The Black Flag: The Romance And The Reality Of Life Among The Pirates,David Cordingly,Random House,,,,,,
Where You'll Find Me: And Other Stories,Ann Beattie,Scribner,,,,,,
Nights Below Station Street,David Adams Richards,Emblem Editions,,,,,,
Hitler's Secret Bankers: The Myth Of Swiss Neutrality During The Holocau: The Myth Of Swiss Neutrality During The Holocaust,Kensington,Citadel,,,,,,
The Middle Stories,Sheila Heti,House Of Anansi Press,,,,,,
Jane Doe,J. R. Kaiser,Mira Books,,,,,,
A Second Chicken Soup For The Woman's Soul (Chicken Soup For The Soul),"Jack Canfield,Mark Victor Hansen,Jennifer Read Haw",HCI,,,,,,
The Witchfinder (Amos Walker Series),"Loren D. Estleman,John Kenneth",Nova Audio Books,,,,,,
More Cunning Than Man: A Social History Of Rats And Man,Robert Hendrickson,Kensington,,,,,,
Goodbye To The Buttermilk Sky,Julia Oliver,River City Pub,,,,,,
The Testament,John Grisham,Dell,,,,,,
Beloved (Plume Contemporary Fiction),Toni Morrison,Longman,,,,,,
Our Dumb Century: The Onion Presents 100 Years Of Headlines From America's Finest News Source,"The Onion,Scott Dikkers,Mike Loew",Three Rivers Press,,,,,,
New Vegetarian: Bold And Beautiful Recipes For Every Occasion,"Celia Brooks Brown,Jane Noraika,Philip Webb",Ryland Peters &amp; Small,,,,,,
If I'd Known Then What I Know Now: Why Not Learn From The Mistakes Of Others? You Can't Afford To Make Them All Yourself!,J. R. Parrish,Cypress House,,,,,,
Mary-Kate &amp; Ashley Switching Goals (Mary-Kate &amp; Ashley Starring In),Mary-kate &amp; Ashley Olsen,HarperEntertainment,,,,,,
Tell Me This Isn't Happening,Robynn Clairday,Scholastic,,,,,,
Flood : Mississippi 1927,"Kathleen Duey,Karen A. Bale,Bill Dodge",Aladdin,,,,,,
Wild Animus: A Novel,Rich Shapero,Too Far Pub,,,,,,
Airframe,Michael Crichton,Ballantine Books,,,,,,
Timeline,Michael Crichton,Ballantine Books,,,,,,
Out Of The Silent Planet,C.S. Lewis,Scribner,,,,,,
Prague: A Novel,Arthur Phillips,Random House Trade Paperbacks,,,,,,
Chocolate Jesus,Stephen Jaramillo,Berkley Trade,,,,,,
Wie Barney Es Sieht. Roman,"Mordecai Richler,Michael Panofsky,Anette Grube",Bastei L?be,,,,,,
Der Fluch Der Kaiserin,"Eleanor Cooney,Daniel Altieri",Blanvalet,,,,,,
Die Sturmzeit-Trilogie: Sturmzeit: Roman: BD 1,Charlotte Link,Goldmann Verlag,,,,,,
Tage Der Unschuld,"Richard North Patterson,Kristian Lutze",Goldmann,,,,,,
Lying Awake,Mark Salzman,Alfred A. Knopf,,,,,,
To Kill A Mockingbird,Harper Lee,Grand Central Publishing,,,,,,
Seabiscuit: An American Legend,Laura Hillenbrand,Ballantine Books,,,,,,
Pigs In Heaven,Barbara Kingsolver,HarperCollins Publishers,,,,,,
Miss Zukas And The Raven's Dance (Miss Zukas Mysteries),Jo Dereske,Avon,,,,,,
Pride And Prejudice,Jane Austen,Bantam Classics,,,,,,
The Therapeutic Touch: How To Use Your Hands To Help Or To Heal,Dolores Krieger,Touchstone,,,,,,
Downtown,Anne Rivers Siddons,HarperTorch,,,,,,
Icebound,Dean Koontz,Bantam,,,,,,
I'll Be Seeing You,Mary Higgins Clark,Pocket Books,,,,,,
From The Corner Of His Eye,Dean Koontz,Bantam,,,,,,
Isle Of Dogs (Andy Brazil),Patricia Cornwell,Berkley,,,,,,
Purity In Death,J.D. Robb,Berkley,,,,,,
This Year It Will Be Different And Other Stories - A Christmas Treasury,Maeve Binchy,Dell,,,,,,
Proxies,Laura J. Mixon,Tor Books,,,,,,
Left Behind: A Novel Of The Earth's Last Days (Left Behind #1),"Tim LaHaye,Jerry B. Jenkins",Living Books,,,,,,
The Street Lawyer,John Grisham,Dell,,,,,,
"Love, Medicine And Miracles",Bernie S. Siegel M.D.,HarperCollins Publishers,,,,,,
All The King's Men,Robert Penn Warren,Harcourt,,,,,,
Pacific Northwest,Hans Johannes Hoefer,Chambers,,,,,,
Soldier Of The Great War,Mark Helprin,Avon Books,,,,,,
Getting Well Again: The Bestselling Classic About The Simontons' Revolutionary Lifesaving Self- Awareness Techniques,"O. Carl Simonton M.D.,James Creighton Ph.D.,Stepha",Bantam,,,,,,
Northwest Wines And Wineries,Chuck Hill,Speed Graphics,,,,,,
An Atmosphere Of Eternity: Stories Of India,David Iglehart,Sunflower Pub Co,,,,,,
Lonesome Dove,Larry McMurtry,Pocket Books,,,,,,
Shabanu: Daughter Of The Wind (Border Trilogy),Suzanne Fisher Staples,Laurel Leaf,,,,,,
Haveli,Suzanne Fisher Staples,Laurel Leaf,,,,,,
Lieux Dits,Michel Tournier,Gallimard,,,,,,
The Dragons Of Eden: Speculations On The Evolution Of Human Intelligence,Carl Sagan,Ballantine Books,,,,,,
The Yawning Heights,Aleksandr Zinoviev,Random House,,,,,,
Breathing Lessons,Anne Tyler,Berkley,,,,,,
The Joy Luck Club,Amy Tan,Ballantine Books,,,,,,
Heart Of Darkness &amp; Other Stories (Wordsworth Collection),Joseph Conrad,Wordsworth Editions Ltd,,,,,,
Deepak Chopra's The Angel Is Near,"Deepak Chopra,Martin Greenberg",St. Martin's Paperbacks,,,,,,
Tess Of The D'Urbervilles (Wadsworth Collection),Thomas Hardy,Wordsworth Edition Ltd,,,,,,
The Adventures Of Drew And Ellie: The Magical Dress,"Charles Noland,Sherri Baker",Authorhouse,,,,,,
The Accidental Virgin,Valerie Frankel,William Morrow Paperbacks,,,,,,
The Tao Of Pooh,Benjamin Hoff,Penguin (Non-Classics),,,,,,
Seabiscuit: An American Legend,Laura Hillenbrand,Ballantine Books,,,,,,
The Prince (Mentor Series),Niccolo Machiavelli,Signet,,,,,,
"Life's Little Instruction Book:  511 Suggestions, Observations, And Reminders On How To Live A Happy And Rewarding Life",H. Jackson Brown Jr.,Rutledge Hill Press,,,,,,
Starship Troopers,Robert A. Heinlein,Ace,,,,,,
"The Ruby In The Smoke (Sally Lockhart Trilogy, Book 1)",Philip Pullman,Laurel Leaf,,,,,,
Black Beauty (Illustrated Classics),,Landoll,,,,,,
Anil's Ghost,Michael Ondaatje,Knopf,,,,,,
Prescription For Terror,Sandra Levy Ceren,Andrew Scott Pub,,,,,,
Modern Manners: An Etiquette Book For Rude People,P. J. O'Rourke,Atlantic Monthly Press,,,,,,
Turning Thirty,Mike Gayle,Flame,,,,,,
Decipher,Stel Pavlou,Simon &amp; Schuster,,,,,,
"My First Cousin Once Removed: Money, Madness, And The Family Of Robert Lowell",Sarah Payne Stuart,Harper Perennial,,,,,,
Standing Firm: Dan Quayle,Dan Quayle,HarperCollins,,,,,,
Team Bush : Leadership Lessons From The Bush White House,"Donald F. Kettl,Donald Kettl",McGraw-Hill,,,,,,
"The Right Man: The Surprise Presidency Of George W. Bush, An Inside Account",David Frum,Random House,,,,,,
The Daybreakers (The Louis L'Amour Collection),Louis L'Amour,Bantam Doubleday Dell,,,,,,
The Catcher In The Rye,J.D. Salinger,"Little, Brown And Company",,,,,,
Midnight In The Garden Of Good And Evil,John Berendt,Random House,,,,,,
Pretend You Don't See Her,Mary Higgins Clark,Pocket Books,,,,,,
Fast Women,Jennifer Crusie,St. Martin's Press,,,,,,
Female Intelligence,Jane Heller,St. Martin's Press,,,,,,
Pasquale's Nose: Idle Days In An Italian Town,Michael Rips,Back Bay Books,,,,,,
The Gospel Of Judas: A Novel,Simon Mawer,Back Bay Books,,,,,,
Prize Stories 1987: The O. Henry Awards,William Abrahams,Doubleday,,,,,,
"Rich Dad, Poor Dad: What The Rich Teach Their Kids About Money--That The Poor And Middle Class Do Not!","Robert T. Kiyosaki,Sharon L. Lechter",Business Plus,,,,,,
The Pillars Of The Earth,Ken Follett,Signet,,,,,,
McDonald's: Behind The Arches,John F. Love,Bantam,,,,,,
Creating Wealth: Retire In Ten Years Using Allen's Seven Principles Of Wealth!,Robert G. Allen,Fireside,,,,,,
Corelli's Mandolin: A Novel,Louis De Bernieres,Vintage,,,,,,
"Love, Miracles, And Animal Healing: A Heartwarming Look At The Spiritual Bond Between Animals And Humans","Pam Proctor,Allen M. Schoen",Fireside,,,,,,
The Five People You Meet In Heaven,Mitch Albom,Hyperion,,,,,,
Relics (Star Trek: The Next Generation),"Michael Jan Friedman,Ronald D. Moore",Star Trek,,,,,,
Bless The Beasts And Children,Glendon Swarthout,Pocket,,,,,,
"The Touch Of Your Shadow, The Whisper Of Your Name (Babylon 5, Book 5)","Neal Barrett Jr.,J. Michael Straczynski",Dell,,,,,,
Blood Oath,David Morrell,St. Martin's Paperbacks,,,,,,
The Alibi,Sandra Brown,Grand Central Publishing,,,,,,
The Beach House,"James Patterson,Peter De Jonge",Grand Central Publishing,,,,,,
A Kiss Remembered,Sandra Brown,Grand Central Publishing,,,,,,
The Short Forever (Stone Barrington),Stuart Woods,Signet,,,,,,
Dead Aim,Iris Johansen,Bantam,,,,,,
Angels &amp; Demons,Dan Brown,Pocket Star,,,,,,
The Deal,Joe Hutsko,Forge,,,,,,
All He Ever Wanted: A Novel,Anita Shreve,Back Bay Books,,,,,,
"Every Breath You Take : A True Story Of Obsession, Revenge, And Murder",Ann Rule,Pocket Books,,,,,,
"If I Ever Get Back To Georgia, I'm Gonna Nail My Feet To The Ground",Lewis Grizzard,Ballantine Books,,,,,,
The Mosquito Coast,Paul Theroux,Avon Books (Mm),,,,,,
"If Love Were Oil, I'd Be About A Quart Low",Lewis Grizzard,Warner Books,,,,,,
"Good-Bye, My Little Ones: The True Story Of A Murderous Mother And Five Innocent Victims","Charles Hickey,Todd Lighty,John O'Brien",Onyx,,,,,,
The Girl Who Loved Tom Gordon,Stephen King,Pocket Books,,,,,,
Bringing Down The House: The Inside Story Of Six M.I.T. Students Who Took Vegas For Millions,Ben Mezrich,Free Press,,,,,,
"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,Thomas Nelson Inc,,,,,,
The Sum Of All Fears,Tom Clancy,Berkley,,,,,,
Care Packages: Letters To Christopher Reeve From Strangers And Other Friends,Dana Reeve,Random House,,,,,,
O Deus Das Pequenas Coisas (Spanish Edition),Roy,Edicoes Asa,,,,,,
Lady In Green And Minor Indiscretions (Signet Regency Romance),Barbara Metzger,Signet,,,,,,
One Hundred Years Of Solitude,Gabriel Garcia Marquez,Perennial,,,,,,
Little Altars Everywhere,Rebecca Wells,Harper Paperbacks,,,,,,
COYOTE WAITS                MM (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,HarperTorch,,,,,,
Before I Say Good-Bye,Mary Higgins Clark,Pocket Books,,,,,,
Slow Waltz In Cedar Bend,Robert James Waller,"Warner Books, Inc.",,,,,,
Twenty Minute Retreats (A Pan Self-Discovery Title),Rachel Harris,Pan Macmillan,,,,,,
Atonement: A Novel,Ian McEwan,Anchor,,,,,,
Next: The Future Just Happened,Michael Lewis,W. W. Norton &amp; Company,,,,,,
Angelic Darkness,Richard Zimler,Arcadia Books,,,,,,
The Soulbane Stratagem: Diabolical Subterfuge Which Threatens To Destroy Us...,Norman Jetmundsen,John Hunt Pub,,,,,,
Gangster,Lorenzo Carcaterra,Fawcett,,,,,,
Hush,Anne Frasier,Onyx,,,,,,
Whisper Of Evil (Evil Trilogy),Kay Hooper,Bantam,,,,,,
Rebecca,Daphne Du Maurier,Avon,,,,,,
The Scarlet Letter (Signet Classics),"Nathaniel Hawthorne,Leo Marx",Signet Classics,,,,,,
Keep It Simple: And Get More Out Of Life,Nick Page,HarperCollins UK,,,,,,
Diary Of A Mad Mom-to-Be,Laura Wolf,Delta,,,,,,
Locked In Time,Lois Duncan,Laurel Leaf,,,,,,
Contact,Susan Grant,Love Spell,,,,,,
Brimstone Wedding,Barbara Vine,Penguin Books Ltd,,,,,,
The Catswold Portal,Shirley Rousseau Murphy,Roc,,,,,,
"Through Wolf's Eyes (Wolf, Book 1)",Jane Lindskold,Tor Fantasy,,,,,,
Puerto Vallarta Squeeze,Robert James Waller,Grand Central Publishing,,,,,,
A Tree Grows In Brooklyn,Betty Smith,Harpercollins Publisher,,,,,,
Cybill Disobedience,"Cybill Shepherd,Aimee Lee Ball",Avon,,,,,,
Snow Angels: A Novel,Stewart O'Nan,Penguin Books,,,,,,
Wish You Well,David Baldacci,Warner Books,,,,,,
The Hitchhiker's Guide To The Galaxy,Douglas Adams,Pocket,,,,,,
Crow Lake (Today Show Book Club #7),Mary Lawson,Dial Press Trade Paperback,,,,,,
My Antonia,Willa Cather,Mariner Books,,,,,,
Pen Pals,Olivia Goldsmith,Signet,,,,,,
Bridget Jones's Diary,Helen Fielding,Picador,,,,,,
Pride And Prejudice (Dover Thrift Editions),"Jane Austen,Dover Thrift Editions",Dover Publications,,,,,,
Eye On Crime: Hardy Boys #153,Franklin W. Dixon,Aladdin,,,,,,
Skin And Bones,Franklin W. Dixon,Aladdin,,,,,,
"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) (Hardy Boys, The)",Franklin W. Dixon,Simon Pulse,,,,,,
The Cat Who Came To Breakfast,Lilian Jackson Braun,Putnam,,,,,,
"If Singleness Is A Gift, What's The Return Policy?","Holly Virden,Michelle McKinney Hammond",Thomas Nelson,,,,,,
Always Daddy's Girl: Understanding Your Father's Impact On Who You Are,H. Norman Wright,Regal Books,,,,,,
"Night Mare (The Magic Of Xanth, No. 6)",Piers Anthony,Del Rey,,,,,,
The Martian Chronicles (The Grand Master Editions),Ray Bradbury,Spectra,,,,,,
Kabale Und Liebe,"Friedrich Schiller,Walter Schafarschik","Reclam, Philipp, Jun. GmbH, Verlag",,,,,,
Der Illustrierte Mann,"Ray Bradbury,Peter Naujack",Diogenes,,,,,,
Der K?ig In Gelb: Stories,"Raymond Chandler,Hans Wollschl?er",Diogenes Verlag,,,,,,
Fahrenheit 451,Ray Bradbury,Diogenes Verlag,,,,,,
Die Mars-Chroniken: Roman In Erz?lungen,"Ray Bradbury,Thomas Schl?k",Diogenes Verlag,,,,,,
Das B?e Kommt Auf Leisen Sohlen,"Ray Bradbury,Norbert W?fl",Diogenes,,,,,,
L?enzahnwein,"Ray Bradbury,Alexander Schmitz",Diogenes,,,,,,
Das Kind Von Morgen. Erz?lungen.,Ray Bradbury,Diogenes Verlag,,,,,,
Die Mechanismen Der Freude. Erz?lungen.,Ray Bradbury,Diogenes Verlag,,,,,,
Familientreffen - Erz?lungen,"Ray Bradbury,J?gen Bauer,Alastair Ker",Diogenes,,,,,,
Der Tod Kommt Schnell In Mexico. Erz?lungen.,Ray Bradbury,Diogenes Verlag,,,,,,
Veronika Beschlie? Zu Sterben,"Paulo Coelho,Maralde Meyer-Minnemann",Diogenes Verlag,,,,,,
Die Liebe In Den Zeiten Der Cholera. Roman.,Gabriel Garc? M?quez,Dtv,,,,,,
Die Klone Der Joanna May. Roman.,Fay Weldon,Dtv,,,,,,
Ist Mein Hintern Wirklich So Dick?,Arabella Weir,Dtv,,,,,,
Haifischfrauen,"Kiana Davenport,Margarete L?gsfeld",Droemer Knaur,,,,,,
Die Cappuccino Jahre,Sue Townsend,Heyne,,,,,,
Schwarzer Tee Mit Drei St?k Zucker,Renan Demirkan,Kiepenheuer &amp; Witsch,,,,,,
Quersch?se: Downsize This!,"Michael Moore,Helmut Dierlamm,Heike Schlatterer",Piper,,,,,,
Die Korrekturen,"Jonathan Franzen,Bettina Abarbanell",Rowohlt,,,,,,
Neun Erz?lungen,"J. D. Salinger,Annemarie B?l,Heinrich B?l,Elisab",Rororo,,,,,,
"Hebt Den Dachbalken Hoch, Zimmerleute Und Seymour Wird Vorgestellt","J. D. Salinger,Annemarie B?l,Heinrich B?l",Rororo,,,,,,
Ulysses,"James Joyce,Hans Wollschl?er",Suhrkamp,,,,,,
Eine Ganz Normale Aff?e,Joanna Trollope,Ullstein Taschenbuch,,,,,,
"Das Intimleben Des Adrian Mole, 13 3/4 Jahre","Sue Townsend,Antoinette Gittinger",Cbt,,,,,,
Das Buch Der L?herlichen Liebe,Milan Kundera,"Fischer (Tb.), Frankfurt",,,,,,
The God Of Small Things,Arundhati Roy,Harper Perennial,,,,,,
The James Dean Affair: A Neil Gulliver &amp; Stevie Marriner Novel,Robert S. Levinson,Forge,,,,,,
The Big Bad Wolf,James Patterson,"Little, Brown And Company",,,,,,
Four Blind Mice (Alex Cross),James Patterson,"Little, Brown",,,,,,
Private Screening,Richard North Patterson,Ballantine Books,,,,,,
Congo,Michael Crichton,Ballantine,,,,,,
Protect And Defend,Richard North Patterson,Ballantine Books,,,,,,
The Tall Pine Polka,Lorna Landvik,Ballantine Books,,,,,,
Memoirs Of A Geisha,Arthur Golden,Knopf,,,,,,
Plainsong,Kent Haruf,Vintage,,,,,,
Body Of Evidence,Patricia D Cornwell,Avon,,,,,,
All That Remains (Patricia Cornwell),Patricia D. Cornwell,Avon,,,,,,
The Case Of The Lost Look-Alike (An Avon Camelot Book),"Carol J. Farley,Tom Newsom",Avon Books (Mm),,,,,,
Petals On The River,Kathleen E. Woodiwiss,William Morrow Paperbacks,,,,,,
The Elusive Flame,Kathleen E. Woodiwiss,Avon,,,,,,
Legacy Of Silence,Belva Plain,Delacorte Press,,,,,,
The Brethren,John Grisham,Doubleday,,,,,,
The King Of Torts,John Grisham,Doubleday,,,,,,
The Curious Incident Of The Dog In The Night-Time: A Novel,Mark Haddon,Doubleday,,,,,,
Bleachers,John Grisham,Doubleday,,,,,,
Sisterhood Of The Traveling Pants (Book 1),Ann Brashares,Ember,,,,,,
Only Love (Magical Love),Erich Segal,Berkley,,,,,,
All Or Nothing,Elizabeth Adler,Island Books,,,,,,
Roses Are Red (Alex Cross),James Patterson,Vision,,,,,,
The Rescue,Nicholas Sparks,Grand Central Publishing,,,,,,
The Manhattan Hunt Club,John Saul,Ballantine Books,,,,,,
Patty Jane's House Of Curl (Ballantine Reader's Circle),Lorna Landvik,Ballantine Books,,,,,,
Pet Sematary (Signet),Stephen King,Signet,,,,,,
Silent Snow,Steve Thayer,Signet,,,,,,
